source,product,rating,date,text
productreview,4wd,1,2026-03-02,"The plastic clips snapped the first time I tightened the straps. Replaced them with metal buckles from the hardware store myself."
productreview,4wd,2,2026-03-05,"Buckle broke on day one. For the price I expected better hardware."
productreview,4wd,1,2026-03-11,"Both clips cracked in cold weather. Cheap plastic garbage."
trustpilot,4wd,2,2026-04-01,"Zipper jammed and then the pull tab snapped off within a week."
productreview,4wd,1,2026-04-09,"Straps fine but every buckle has now failed. Third one snapped loading the ute."
productreview,4wd,2,2026-02-18,"Advertised as waterproof but a light shower soaked everything inside. Canvas feels thin."
trustpilot,4wd,2,2026-02-22,"Material is way too thin for touring. Rain got in through the seams on night two."
trustpilot,4wd,1,2026-03-15,"Jump starter died after four uses. Battery will not hold charge. Avoid their electrical gear."
productreview,4wd,1,2026-03-20,"Fridge stopped working in week three. Total junk electronics."
trustpilot,4wd,1,2026-04-12,"Asked for a warranty replacement and they wanted a 10% restocking fee. Customer service never replied for two weeks."
trustpilot,4wd,1,2026-04-15,"Courier lost it twice and the delivery company blamed me. No response from support."
productreview,4wd,3,2026-04-20,"My first one was great so I ordered a second one and it is nowhere near the same quality. Hit and miss."
productreview,4wd,4,2026-05-02,"Decent unit overall. Colour faded a bit in the sun after a summer up north."
akff,squid,1,2026-03-03,"Cheap jigs rusted to bits after two sessions. The prongs bent on the first squid."
enoughgun,squid,2,2026-03-07,"Whole thing fell apart, cloth peeled and the hooks were corroded inside a month."
akff,squid,1,2026-03-19,"Rusty crown after one rinse. Never again with the $2 specials."
enoughgun,squid,2,2026-02-25,"These sink like a stone, nose dive straight down. Had to trim the weight myself to fix the fall rate."
akff,squid,2,2026-03-25,"Butt first sink attitude, squid completely ignore it. Binned the lot."
fishingmad,squid,2,2026-04-05,"One out of the pack spins on the drop. Line twist killed the session, tow point was bent out of the box."
akff,squid,3,2026-04-18,"Wet jigs went back in the bag and the whole kit stinks now, hooks tangle into one rusty ball. Storage is the real problem nobody solves."
enoughgun,squid,3,2026-05-01,"My tackle bag smells like death, no way to dry out the jigs. Would pay for proper storage."
akff,squid,4,2026-05-10,"Colours look nothing like the photos on the website."
